day_of_year,humidity,pressure,rain,temperature
1,73,1019.5,0,20.0
2,68,1013.5,0,23.3
3,70,1019.0,0,22.5
4,64,1017.2,0,22.9
5,74,1014.1,0,23.6
6,75,1014.6,0,24.3
7,68,1019.0,0,23.1
8,71,1019.8,0,23.4
9,65,1015.5,0,25.0
10,61,1014.0,0,23.2
11,70,1016.4,0,23.5
12,69,1019.5,0,25.2
13,80,1016.3,1,23.1
14,67,1012.5,0,23.2
15,66,1014.4,0,22.8
16,67,1015.4,0,25.2
17,60,1018.2,0,26.1
18,73,1015.2,0,24.1
19,85,1013.5,1,25.8
20,60,1014.5,0,23.3
21,69,1012.3,0,24.6
22,65,1012.4,0,26.1
23,79,1014.0,1,26.9
24,63,1013.3,0,27.4
25,67,1016.4,0,25.5
26,77,1014.6,1,27.6
27,63,1017.9,0,24.8
28,60,1015.9,0,26.1
29,69,1015.2,0,26.6
30,62,1016.6,0,25.0
31,70,1018.8,0,26.8
32,63,1012.0,0,28.3
33,73,1013.4,0,28.3
34,67,1017.7,0,27.2
35,67,1013.5,0,25.2
36,79,1016.4,1,27.2
37,67,1013.0,0,26.6
38,66,1018.6,0,28.4
39,77,1013.9,1,29.2
40,71,1012.6,0,29.0
41,69,1010.5,0,29.1
42,66,1018.3,0,29.2
43,68,1013.6,0,27.9
44,69,1017.3,0,26.3
45,72,1015.0,0,26.7
46,67,1019.2,0,27.4
47,73,1010.5,0,28.3
48,62,1013.0,0,29.8
49,74,1013.0,0,29.1
50,64,1016.4,0,27.7
51,63,1014.6,0,30.7
52,64,1010.7,0,30.5
53,85,1016.0,1,28.0
54,61,1014.7,0,27.8
55,61,1011.9,0,29.9
56,61,1016.4,0,29.8
57,75,1010.8,0,30.0
58,64,1012.4,0,29.8
59,70,1010.7,0,31.0
60,75,1016.6,1,30.6
61,66,1011.6,0,28.7
62,72,1014.5,0,30.0
63,60,1012.7,0,31.0
64,71,1011.3,0,29.3
65,85,1018.1,1,29.7
66,72,1015.0,0,31.2
67,65,1015.6,0,30.6
68,82,1011.2,1,28.0
69,75,1010.5,1,28.9
70,76,1015.6,1,27.9
71,66,1013.5,0,28.4
72,79,1011.5,1,31.6
73,66,1010.6,0,30.7
74,69,1012.2,0,29.3
75,78,1014.9,1,31.7
76,65,1011.5,0,28.5
77,76,1011.5,1,29.1
78,80,1018.1,1,32.0
79,64,1012.4,0,29.1
80,60,1015.6,0,30.2
81,81,1017.4,1,28.2
82,71,1019.4,0,29.5
83,69,1012.2,0,29.7
84,85,1012.2,1,28.9
85,62,1019.1,0,30.2
86,61,1018.0,0,28.6
87,73,1017.0,0,30.8
88,74,1015.8,0,28.7
89,85,1019.2,1,29.7
90,62,1015.4,0,31.5
91,75,1014.1,0,29.6
92,77,1014.2,1,31.5
93,79,1013.9,1,28.3
94,82,1015.9,1,28.2
95,63,1011.9,0,31.7
96,82,1019.0,1,30.8
97,70,1013.1,0,28.4
98,83,1014.7,1,29.0
99,74,1014.2,0,29.5
100,82,1014.7,1,28.2
101,77,1011.4,1,28.5
102,75,1012.4,0,27.5
