day_of_year,humidity,pressure,rain,temperature
1,73,1019.5,0,36.04516816481208
2,68,1013.5,0,35.57157396360774
3,70,1019.0,0,33.66989339475797
4,64,1017.2,0,36.12129704338582
5,74,1014.1,0,32.271420508140444
6,75,1014.6,0,34.05847898786021
7,68,1019.0,0,34.18365639357751
8,71,1019.8,0,31.6800258642142
9,65,1015.5,0,35.432005547682465
10,61,1014.0,0,33.3192818999951
11,70,1016.4,0,36.8827861353769
12,69,1019.5,0,33.20079067783763
13,80,1016.3,1,34.625625145622614
14,67,1012.5,0,37.272097127419784
15,66,1014.4,0,31.96189097799098
16,67,1015.4,0,33.58553522808307
17,60,1018.2,0,35.677266633002446
18,73,1015.2,0,34.577298334701105
19,85,1013.5,1,33.82120930735475
20,60,1014.5,0,35.11975681403052
21,69,1012.3,0,33.07882349033433
22,65,1012.4,0,35.34348677502495
23,79,1014.0,1,32.70324821630734
24,63,1013.3,0,32.36982328332123
25,67,1016.4,0,35.002524547416996
26,77,1014.6,1,32.31764307770972
27,63,1017.9,0,34.412289522089566
28,60,1015.9,0,35.68337546566995
29,69,1015.2,0,32.22821529969301
30,62,1016.6,0,30.62803752301909
31,70,1018.8,0,29.861872728729445
32,63,1012.0,0,33.92063196593975
33,73,1013.4,0,33.53208529687519
34,67,1017.7,0,33.7790150223964
35,67,1013.5,0,32.71651312562914
36,79,1016.4,1,31.621487385116072
37,67,1013.0,0,27.399958874261337
38,66,1018.6,0,31.125500238249934
39,77,1013.9,1,26.312776128680518
40,71,1012.6,0,30.97576671148891
41,69,1010.5,0,30.169861738588363
42,66,1018.3,0,30.044144146920182
43,68,1013.6,0,32.86500338708131
44,69,1017.3,0,32.455069964125684
45,72,1015.0,0,30.25227203740104
46,67,1019.2,0,29.294770848692956
47,73,1010.5,0,25.635198955679034
48,62,1013.0,0,27.338846491073017
49,74,1013.0,0,26.40861153162584
50,64,1016.4,0,27.914830556079632
51,63,1014.6,0,29.67725238800266
52,64,1010.7,0,27.09086623660364
53,85,1016.0,1,26.0010334725833
54,61,1014.7,0,28.904080273904064
55,61,1011.9,0,26.08083885628116
56,61,1016.4,0,29.830760344835674
57,75,1010.8,0,23.43881802421978
58,64,1012.4,0,26.264611530986823
59,70,1010.7,0,26.65217763147308
60,75,1016.6,1,26.329622129405404
61,66,1011.6,0,29.656632513077458
62,72,1014.5,0,24.817113841223865
63,60,1012.7,0,23.484454705468682
64,71,1011.3,0,23.07910408455873
65,85,1018.1,1,22.37419487965778
66,72,1015.0,0,20.201378874829658
67,65,1015.6,0,24.7948821560036
68,82,1011.2,1,23.290378776806417
69,75,1010.5,1,23.609837702362377
70,76,1015.6,1,21.897791514770752
71,66,1013.5,0,21.976294254038137
72,79,1011.5,1,20.86685846960384
73,66,1010.6,0,23.7074505217731
74,69,1012.2,0,20.536955426606355
75,78,1014.9,1,21.253068366065722
76,65,1011.5,0,19.197038843510036
77,76,1011.5,1,19.97483228979478
78,80,1018.1,1,17.692754134203756
79,64,1012.4,0,16.201891290150424
80,60,1015.6,0,15.765839887572696
81,81,1017.4,1,17.826713201434263
82,71,1019.4,0,19.349924826031042
83,69,1012.2,0,15.672374749214994
84,85,1012.2,1,16.424966162004868
85,62,1019.1,0,17.964497164588103
86,61,1018.0,0,18.125426648863744
87,73,1017.0,0,20.171826343929983
88,74,1015.8,0,16.556191720859022
89,85,1019.2,1,16.543437009776678
90,62,1015.4,0,16.294261882211355
91,75,1014.1,0,15.442662363303269
92,77,1014.2,1,14.559581581883707
93,79,1013.9,1,11.81066902731578
94,82,1015.9,1,15.226107103644805
95,63,1011.9,0,12.624267443882918
96,82,1019.0,1,11.208376209785634
97,70,1013.1,0,13.835498884722448
98,83,1014.7,1,14.58168605973302
99,74,1014.2,0,11.976275443766513
100,82,1014.7,1,10.722861732674907
101,77,1011.4,1,13.215325152555073
102,75,1012.4,0,12.288714327850702
103,71,1017.6,0,9.620201934654133
104,64,1016.9,0,12.706969691724014
105,81,1017.0,1,9.544892254072327
106,75,1013.5,0,8.70463355034548
107,69,1014.4,0,6.956146754244095
108,69,1019.9,0,10.57167282795271
109,68,1018.0,0,9.225216530184314
110,75,1011.9,0,10.544020216025213
111,83,1018.3,1,9.26989467242073
112,76,1010.2,1,5.699437152738669
113,79,1012.6,1,10.05945346078203
114,66,1015.9,0,8.988663406936714
115,71,1012.0,0,10.221718088088757
116,64,1015.1,0,7.907894490176932
117,73,1017.1,0,9.250213095771192
118,64,1013.2,0,3.73870358823919
119,84,1014.1,1,5.6157169005529415
120,83,1014.1,1,6.18421689278951
121,66,1011.8,0,6.599949125591175
122,61,1016.6,0,7.776199957185492
123,72,1017.7,0,6.682726566228509
124,77,1010.6,1,3.491282796453583
125,61,1017.7,0,1.9711184710204637
126,77,1012.1,1,3.473824213040914
